productname,brandname,gst,return_policy
Moong Dal,Haldiram,5.00,non-returnable non-replaceable
Mother Dairy Fruit Yoghurt,Mother Dairy ,5.00,refundable
MTR Pickle,MTR,5.00,refundable
Navratan Mixture,Haldiram,5.00,replaceable
Nutri Choice Biscuits,Britannia,5.00,non-returnable non-replaceable
Nutri Choice Oats,Britannia,5.00,non-returnable non-replaceable
Oreo Biscuits,Cadbury,5.00,refundable
Parle Rusk,Parle,5.00,replaceable
Pasta Treat,Sunfeast ,5.00,refundable
Pickle Mix Vegetable,MTR,5.00,refundable
Potato Bites,McCain,5.00,refundable
Priya Pickle,Priya,5.00,replaceable
Ragulla Tin,GITS,5.00,non-returnable non-replaceable
Safal Green Peas,Safal,5.00,non-returnable non-replaceable
Snakart Veg Momos,Snakart,5.00,replaceable
Spread Cocoa,Hersheys,5.00,refundable
Sundrop Peanut Butter,Sundrop,5.00,replaceable
Swaad Spring Rolls,Swaad,5.00,replaceable
Swiss Roll,Winkies,5.00,replaceable
Synthetic Vinegar,Double Horse,5.00,replaceable
Tasties Biscuits,Tasties,5.00,replaceable
Tasties Khari,Tasties,5.00,non-returnable non-replaceable
Tasty Nuts,Haldiram,5.00,replaceable
Tea,Red Label,5.00,replaceable
Toned Milk - Taaza,Amul,5.00,replaceable
Too Yumm Foxnuts,Too Yumm,5.00,replaceable
Treat Biscuits,Britannia,5.00,refundable
Veggie-Fingers,McCain,5.00,non-returnable non-replaceable
Yummies Nuggets,Yummies,5.00,replaceable
cotton shirt,american crew,5.00,non-returnable non-replaceable
formal shirt,craftcity,5.00,non-returnable non-replaceable
tshirt,gritstone,5.00,replaceable
cotton track pant,fabdon,5.00,replaceable
jeans pant,verito,5.00,refundable
jacket,qube,5.00,refundable
denim jacket,rohan,5.00,replaceable
one piece dress,aara,5.00,refundable
rayon dress,amayra,5.00,refundable
synthetic dress,rigo,5.00,non-returnable non-replaceable
slimfit tshirt,raglan,5.00,refundable
sport tshirt,nike,5.00,replaceable
collar tshirt,puma,5.00,replaceable
cotton trouser,ben martin,5.00,refundable
formal blazer,manq,5.00,replaceable
straight kurta,myx,5.00,non-returnable non-replaceable
